Reservation-id,Age,Expected_checkin,Expected_checkout,Booking_date,Reservation_Status,Discount_Rate,Room_Rate,Lead_Time,Length_of_Stay,Total_Guests,Checkin_Month,Is_Weekend,Gender_m,Ethnicity_asian american,Ethnicity_caucasian,Ethnicity_latino,Educational_Level_grad,Educational_Level_high-school,Educational_Level_mid-school,Income_50k -- 100k,Income_<25k,Income_>100k,Country_region_north,Country_region_south,Country_region_west,Hotel_Type_city hotel,Hotel_Type_resort,Meal_Type_fb,Meal_Type_hb,Visted_Previously_yes,Previous_Cancellations_yes,Deposit_type_non-refundable,Deposit_type_refundable,Booking_channel_direct,Booking_channel_online,Required_Car_Parking_yes,Use_Promotion_yes
39428300,40,2015-07-01,2015-07-02,2015-05-21,1,10,218,41,1,4,7,0,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True
77491756,49,2015-07-01,2015-07-02,2015-05-26,1,0,185,36,1,6,7,0,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False
73747291,42,2015-07-02,2015-07-06,2015-06-29,1,0,119,3,4,6,7,0,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
67301739,25,2015-07-02,2015-07-03,2015-06-20,1,5,144,12,1,7,7,0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True
77222321,62,2015-07-03,2015-07-04,2015-06-20,1,10,242,13,1,2,7,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
55152245,34,2015-07-03,2015-07-04,2015-06-20,1,10,143,13,1,7,7,0,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True
7647912,40,2015-07-03,2015-07-04,2015-06-25,1,0,170,8,1,3,7,0,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,True,False
94296865,59,2015-05-06,2015-05-07,2015-02-11,1,10,245,84,1,5,5,0,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,True,True
93087487,21,2015-04-22,2015-04-25,2015-02-09,1,20,212,72,3,5,4,0,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,True,False,True,False,True
21683013,69,2015-06-23,2015-06-26,2015-06-03,1,0,106,20,3,4,6,0,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False
41573356,52,2015-07-05,2015-07-06,2015-06-01,1,10,208,34,1,7,7,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,True
27295370,55,2015-07-05,2015-07-06,2015-04-29,1,0,145,67,1,3,7,1,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
84744933,42,2015-07-05,2015-07-09,2015-06-21,1,25,180,14,4,3,7,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True
79158038,69,2015-07-05,2015-07-07,2015-05-31,1,15,246,35,2,3,7,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True
49456071,42,2015-07-05,2015-07-06,2015-04-29,1,10,203,67,1,6,7,1,True,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True
99089071,22,2015-07-05,2015-07-08,2015-06-01,1,0,220,34,3,3,7,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
26323232,32,2015-07-02,2015-07-03,2015-06-21,1,0,182,11,1,2,7,0,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
13898482,62,2015-07-05,2015-07-06,2015-06-29,1,0,234,6,1,2,7,1,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False
37437329,22,2015-07-06,2015-07-07,2015-05-31,1,10,118,36,1,4,7,0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True
